int	string	string	int	int	int	int	int	int	string	string	string	string	string	string	DTItemNum[]	int	bool	int
id	名称	name	触发条件|n|1等级|n|2播放完剧情	触发条件参数	任务要求:|n|1建造建筑|n|2升级建筑|n|3升级艺人|n|4招募艺人|n|5街道宣传|n|6进行路演|n|7占领城市|n|8拍摄电影|n|9查看电影收益|n|10领取电影收益次数|n|11提升关注度|n|12任命形象大使|n|13选择重点宣传城市|n|14领取城市收益次数|n|15进行生产|n|16完成订单|n|17处理公务|n|18接待粉丝|n|19领取电影收益数量|n|20打开一次排行榜	要求参数|n|1建筑ID|n|2建筑ID|n|3艺人等级|n|4拥有艺人数量|n|5街道ID|n|6城市ID|n|7城市ID|n|8拍摄电影数量|n|9打开收益界面|n|10领取收益次数|n|11电影关注度次数|n|12城市ID|n|13宣传城市ID|n|14领取城市收益次数|n|15生产次数|n|16完成订单数量|n|17处理公务数量|n|18接待粉丝次数|n|19领取电影收益数量|n|20打开排行榜次数	副要求参数|n|2建筑等级|n|3艺人数量|n|12形象大使数量	任务目标	简介	info	任务完成简介	completeinfo	内容	content	奖励	任务顺序	是否触发引导|n|0=否|n|1=是	引导id
id	cn_name	en_name	trigger	t_value	require	r_value	s_r_value	goal	cn_info	en_info	cn_cinfo	en_cinfo	cn_content	en_content	reward	pre_quest	guide	guide_id
1100	建造电影院		2	100401	1	1		1	作为一家影业公司，怎么能没有自己的电影院呢！		电影院建好啦，现在让我们开始电影拍摄的准备工作吧！		主线任务		3:2000;9001:20;5:100	1	1	100201
1101	建造摄影棚				1	2		1	搭建摄影棚，拍摄属于我们自己的第一部电影吧！		摄影棚搭建好了，我们现在可以开始拍摄电影啦！		主线任务		3:2000;5:100	2	1	100301
1102	拍摄第1部电影				8	1		1	让我们努力制作出一部一鸣惊人的电影吧！		在无数的汗水，辛劳，以及摄影师碗里的鸡腿的见证下，第一部电影成功拍摄完成！		主线任务		2:2000;9001:15;5:300	3	1	100401
1103	领取1次电影持续收益				10	1		1	电影上映之后除了票房收益，还有上映期间产生的持续收益喔！现在就让我们来看看吧！		电影的持续收益来自不同地区加映票房、电影周边贩卖以及相关活动授权费等多个方面。这也是一笔可观的收入，别忘了领取哦！		主线任务		3:5000;9004:10;5:300	4	1	100501
1104	建造艺人教室				1	3		1	虽然上一次靠救场解决了问题，但那也是仅限一次的特殊情况。现在的当务之急，就是寻找有才能的艺人进行签约啦！		现在我们已经有了自己的艺人部门，就可以对艺人资源进行管理啦！		主线任务		3:5000;6:2000;5:500	5	1	100601
1105	招募1个新艺人				4	2		2	我们旗下签约的艺人越多，能覆盖的剧本与角色类型也会更多，对公司的持续发展是十分有益的哦！		这样就解决了目前艺人不够的问题，而且，随着公司不断发展壮大，相信一定会有越来越多的艺人加入我们的！		主线任务		2:5000;9001:20;5:500	6	1	100701
1106	将1位艺人升到10级				3	10	1	1	成功签约艺人之后可不能就放着他们不管了，想要让艺人们发挥出更精彩的表演，可不能忽视对他们的培养哦！		影帝可不是一天炼成的，艺人能力越强，发挥越好，对电影品质提升也就越大！所以一定要注重艺人的成长哦！		主线任务		3:5000;9002:10;5:500	7	1	100801
1107	建造市场部				1	4		1	想拍出叫好又叫座的电影，闭门造车可不行。我们需要加深对市场的研究。		我们对市场的了解越深，就越有可能拍出符合市场喜好的电影，从而让我们的公司吸引更多观众的目光！		主线任务		2:5000;5:500	8	1	100901
1108	在星光大道完成宣传				5	11001		1	酒香也怕巷子深，想要获取更高的关注度，我们必须主动出击！		从一个小街区开始，我们的影响力最终将会扩展至全球！		主线任务		2:5000;9002:26;5:500	9	1	101001
1109	将市场部升至2级				2	4	2	2	市场部的等级越高，我们对市场调研的结果也会更加精确，对于制定公司的发展策略无疑会更有帮助哦！		将市场部的等级提升可以提高我们对市场方向的把控，从而让公司始终走在正确的方向上哦！		主线任务		3:5000;5005:100;5:500	10	1	101101
1110	累计提升2次电影关注度				11	2		2	电影上映期间，我们也可以通过提高大家对电影的关注度来获取更大的收益！		电影上映之后的合理推广也是非常重要的，配合档期与其他活动，对于持续收益的增长将会是很大的推动！		主线任务		2:5000;5:500	11	1	101201
1111	在环球影城完成宣传				5	11002		1	进一步扩大我们的影响力吧！		每个街区的受众对代言人的类型都有不同的偏好，利用好这一点，宣传就能事半功倍哦！		主线任务		2:5000;5:1000	12	1	101301
1112	顺利进行1次路演				6	1101		1	当我们完成一座城市中所有街道的宣传之后，就可以在这座城市举行路演了哦！公开路演将会检验这座城市对我们公司的认可度，如果成功则意味着我们在这里有了深厚的粉丝基础！		罗马非一日之工，让我们共同见证公司发展的轨迹吧！		主线任务		3:5000;5:500	13	1	101401
1113	占领洛杉矶的市场				7	1101		1	完成路演之后，我们在这座城市的影响力就达到顶峰了哦！也就是说，我们可以占领这座城市啦！		已占领的城市将会源源不断的给公司提供新的粉丝与收益喔！		主线任务		2:5000;5:500	14	1	101501
1114	在洛杉矶任命1位形象大使				12	1101	1	1	在已占领城市任命公司的形象大使可以为公司带来更高的收益，但是每个城市的不同街区对形象大使也有着不同的要求哦！		任命形象大使后占领城市所带来的收益也更高了！		主线任务		2:5000;5:1000	15	1	101601
1115	为1部电影选择重点宣传城市				13	1101		1	选择某个城市对上映中的电影进行重点宣传也可以提高电影的持续收益哦！		随着宣传力度加强，在这座城市所取得的持续收益也可能会得到相应的提升哦！		主线任务		3:5000;9001:25;5:1000	16	1	101701
1116	拍摄第2部电影				8	2		2	每部电影都是我们通往成功的基石，也是新的粉丝的重要来源，一定要好好重视哦！		不断提升公司实力，拍出更多的佳片吧！		主线任务		2:5000;9002:20;5:1000	17	1	101801
1117	建造宣传部				1	5		1	每个人都有15分钟的成名机会，但区别在于能否把握住这个机会。所以，为了抓住属于我们的“15分钟”，接下来让我们建造我们自己的宣传部吧！		抓住转瞬即逝的机会并发挥出最大化的效益，这可是一种非常宝贵的才能哦！有了宣传部的帮助，我们一定能在这条路上走的更加顺利！		主线任务		2:5000;5005:300;5:1000	18	1	101901
1118	累计提升6次电影关注度				11	6		6	让我们趁热打铁，让我们电影的关注度更上一层楼吧！		如果我们的电影关注度足够高，那将能够超越电影，成为流行文化的一部分！		主线任务		3:5000;9001:50;5:1000	19	1	102001
1119	累计领取电影持续收益超过8000美元				19	8000		8000	有没有好好记着去定期收取一下电影上映后的持续收益呢？忘了也没关系，我们现在一起去看看吧！		播下的树种总要长大，派发出的宣传单当然也要得到相应的成果啦！		主线任务		2:5000;9001:50;5:1000	20	1	102101
1120	领取1次城市经营收益				14	1		1	是时候回去探望一下我们的形象大使们啦！不知道他们的工作开展的怎么样了！		有形象大使的帮忙，我们只要记得定期来收取城市经营收益就可以啦！		主线任务		2:5000;9003:10;5:1000	21	1	102201
1121	建造仓库				1	6		1	之前电影拍摄过程中累积的道具跟设备越来越多，都要没地方放啦！我们需要一个专门的库房！		仓库建好之后我们的道具跟设备的摆放终于不再杂乱无章啦！		主线任务		2:5000;9001:50;5:500	22	1	102301
1122	进行生产				15	1		1	我们可以通过生产上映电影的相关周边产品来赚取更多收入喔！		电影口碑越好，观众们对于购买周边的热情，是不是就会更高呢？		主线任务		2:5000;5:500	26	1	102401
1123	建造销售部				1	7		1	生产出来的周边只是放在柜台里面等着顾客自己来买，未免有点太寂寞啦！这种情况，就是销售部出场的时候！		有了销售部的帮助，我们的周边生意肯定能越来越红火的！小心可别被订单淹没哦！		主线任务		3:5000;9004:10;5:500	23	1	102501
1124	升级摄影棚				2	2	2	2	我们公司的规模越来越大，对于拍摄场地的要求当然也要与时俱进啦！		摄影棚的等级提升也就意味着影片质量的进一步提升喔！		主线任务		2:5000;5:500	24	1	102601
1125	建造商务部				1	8		1	订单越来越多，是不是觉得我们现有的生产线有点忙不过来呢？要解决这个问题，我们需要先建立起商务部哦！		有了商务部之后，我们就可以针对性的对生产线进行升级调整，以应对日益增多的订单了哦！		主线任务		3:5000;7:10;5:500	25	1	102701
1126	将1位艺人升到20级				3	20	1	1	公司目前的艺人阵容越来越大，对他们的培养可不能忘记哦！毕竟，演员的演技是一部电影成功与否的重要因素之一呢！		要始终记住，艺人可是我们最宝贵的资源。毕竟，艺术源于生活，电影以人为本！所以，一定不能疏于对艺人们的培养哦！		主线任务		2:5000;5:500	27	1	102801
1127	拍摄第3部电影				8	3		3	虽然现在我们对拍摄电影已经算是驾轻就熟了，也不能因此就大意哦！60%的努力加40%的热爱，还有20%的运气，才能得到120%的成功！		将来我们还会拍摄许许多多部电影，但不管今后如何，我们都要保持拍摄第一部电影时的初心哦！		主线任务		3:5000;5:500	28	1	102901
1128	查看1次电影排行榜				20	1		1	影业协会把当天拍摄完成的所有电影根据各个影业公司目前所在的分组进行排名哦，来看看我们的电影排位如何吧！		保持关注排行榜，可以对我们公司目前的实力有个直观的了解哦！而且，努力赶超排在我们前面的对手，对于公司的发展也是很不错的驱动力呢！		主线任务		2:5000;4001:10;4002:10;4003:10;4004:10;4005:10;4006:10;5:500	29	1	103001
1129	完成订单				16	1		1	完成客户的订单也是我们公司经营重要的一环哦！		成功交付订单可以提升我们公司在业界的影响力，收获粉丝与点赞，况且订单本身也能带来可观的收入喔！		主线任务		2:5000;5:500	30	1	103101
1130	占领纽约的市场				7	1102		1	这次的目标是——纽约！如果我们能在这里取得成功，那我们在任何地方都能够取得成功！		拿下我们的第二城啦！继续前进，让我们的足迹遍布这片大陆吧！		主线任务		3:5000;9001:60;5:1000	31	1	103201
1131	在纽约同时任命3位形象大使				12	1102	3	3	随着公司规模进一步扩张，一个城市只派驻一位形象大使似乎有点儿不够了呢！为了更好的管理城市收益，我们需要增派人手哦！		在大家的共同努力下，城市的经营应该不会有大问题啦！		主线任务		2:5000;9002:10;5:1000	32	1	103301
1132	建造办公室				1	9		1	说起来，我们公司是不是还缺少了一项基础设施？没错，就是办公室啦！虽然说现在大家都可以移动办公，但是办公室还是有必要的哦。		办公室建造完成！移动办公虽然不错，但果然还是需要一个能专心处理事务的地方呢！		主线任务		2:5000;5:500	33	1	103401
1133	处理3次公务				17	3		3	经营公司可离不开日常的公务处理，好好加油吧！		公务如果堆积着不及时处理也会造成麻烦呢，可别懈怠哦！		主线任务		3:5000;5:1000	34	1	103501
1134	领取2次城市经营收益				14	2		2	又到了定期查看城市收益的时候啦！新的城市，说不定会带给我们新的惊喜哦！		感谢我们的工作人员和形象大使们的辛勤工作，我们才能轻松的获得城市经营收益哦！		主线任务		2:5000;9001:70;5:500	35	1	103601
1135	累计完成2次生产				15	2		2	我们周边销售的火爆可不输电影上映哦！所以，生产线空置可是不行的！		保持生产线运作，才能保证我们对客户订单的交付能力，然后实现源源不断的收入！所以别忘了定期查看生产线的运作状况哦！		主线任务		2:5000;9002:10;5:500	36	1	103701
1136	建造接待室				1	10		1	随着我们公司知名度越来越高，已经会有忠实粉丝来到公司参观拜访了呢！那么，没有接待室怎么行呢！		接待室建造完成！来参观拜访的粉丝们可以有专门的空间来和他们心仪的艺人近距离接触啦！这样我们的粉丝基础肯定能更加牢固！		主线任务		2:5000;5:500	37	1	103801
1137	接待1位粉丝				18	1		1	接待室建好之后，来参观拜访我们的粉丝也越来越多啦！看，这边已经有几位粉丝正在等待了哦！快点去跟他们打个招呼吧！		接待室可以让粉丝们跟他们心仪的艺人近距离接触，让粉丝们的热情更加高涨，自发的为我们宣传呢！		主线任务		2:5000;3:20000	38	1	103901
